Author,Comment,Guesses
Robin Gustafsson,"Cap: 174lbs\nRob: 218lbs\nBea: 253lbs\n\nTotal: 645lbs?",645
epic rain22,"Lee: 175\nRob: 220\nBea: 287\nTotal: 682?",682
Don_Don3,"Rob: 217 lbs \nLee: 176 lbs\nRabea: 284 lbs\n\nTotal: 677 lbs?",677
Hyke Karasu,"617.3?",617
oakes family,"OH! Guide me Dimebag<comma>with your sweeping range of wah and mighty gain!\n\n618 pounds for all of ya! (or 44.1429 stone)?",618
Craig Heath,"599 lbs and 1 oz?",599
Hamza Kara,"Lee: 165\nRob: 200\nRabea: 245\n\nTotal: 610 pounds?",610
Federico Zambon,"623 total pounds?",623
Luca plays Guitar,"734.7 lbs?",734
Finn Goulson,"609 pounds?",609
NikPlays,"COMBINED WEIGHT: Rob: 195 lbs\nCap: 156 lbs\nBea: 237 lbs\n\nTotal: 588 lbs??",588
Andrew J. Ritchey,"Total weight: 723 lbs?",723
RazInKirng,"It's 636<comma>42lbs. (;?",636
Martin Alvarez,"Rob - 193\nCap - 153\nRabea - 242\n\nAll 3 combined - 588 lbs.?",588
Gast?n Ruiz,"Captain: 190 lbs\nRob: 209 lbs\nBea: 235 lbs\n\nTotal: 634 lbs?",634
Ricardo Ferreira,"Combined it is 731.93 pounds.?",731
Tom Amir,"Rob 205.63\nLee 153.42\nBea (The Bae) 222.40\nTotal: 581.45?",581
Classic Rock Covers,"Cap: 165\nRob: 195\nBea: 245\n\nTotal: 605lbs?",605
linxMuppet,"When do we find out who won? If they did announce<comma> how close was my guess(607) if memory serves?",607
Miguel Feliciano,"652?",652
Mans World,"Combined weight: 641<comma>5 lbs?",641
Josiah Filleul,"634 lbs??",634
Oscar Ericsson,"665lbs total?",665
Jaden Lake,"I change my guess to 582lbs?",582
At,"572!?",572
LupoAlbertoVB,"Combined weight: 633lbs ;)?",633
SchuldinerLA,"My guess is 639.5. I'm keeping my fingers crossed!?",639
Sophie Glickman,"654?",654
William Buchanan,"78kg98kg105kg619.4 pounds?",619
Othkarr,"rob: 205\nBea: 231\nlee: 176\n\ntotal:612?",612
Karl McBride,"625 lb. Keep up the great work with the channel<comma> it's the most interesting and hilarious one I know of! :)?",625
james smith,"Rob: 231  1/2\n\nLee: 180  1/2\n\nRabea: 271  1/2\n\nTotal: 648  1/2\n\nI like the smaller bored the best. Just thought I'd put that out there ??",648
A Luay,"I'd say 590 collectively!!!  Gut feeling I guess?",590
C-Roy,"Lee - 172 lbs\nRob - 211 lbs\nrabea - 234 lbs\ntotal - 617 lbs?",617
Dagan Keefe,"Chappers (241)\n\nCaptain (175)\n\nRabea (301)\n\nCombined weight 717lbs?",717
Extreme duck (Extreme Duck),"231lbs Rob\n189lbs capt\n270lbs rabea?",
Ronald Olszewski,"Combined weight of Bea<comma> Chappers and the Captain: 590 pounds U.S.?",590
NaSeNooB NBOGamer,"Rob : 197 Ibs\nCap : 165 Ibs\nBea : 251 Ibs\nTotal : 613 Ibs\nYeah!!!?",613
Sam Maguire,"Captain: 156 Lb\nChappers: 177 Lb\nRabea: 228 Lb\nTotal: 561?",561
